Variable,overall_SHAP_abs,overall_Corr,overall_Correlation_status,Cluster 1_SHAP_abs,Cluster 1_Corr,Cluster 1_Correlation_status,Cluster 0_SHAP_abs,Cluster 0_Corr,Cluster 0_Correlation_status,Cluster 2_SHAP_abs,Cluster 2_Corr,Cluster 2_Correlation_status
avg_team_tenure(Year),1.3169459653928124,-0.8350335888597227,negative_correlation_with_attrition,0.7051846456187489,-0.9999999999999994,negative_correlation_with_attrition,1.023904005924669,-0.9999999999999996,negative_correlation_with_attrition,0.938139497474288,-0.6407743401577972,negative_correlation_with_attrition
I feel a sense of belonging at Philips.,0.2604110423036312,-0.7560712627435106,negative_correlation_with_attrition,0.5407799272985396,-1.0,negative_correlation_with_attrition,0.2356203141600205,-0.9999999999999994,negative_correlation_with_attrition,,,
At Philips we collaborate to more effectively meet customer needs.,0.2140962802420766,0.4081189764959235,positive_correlation_with_attrition,0.2153655490989811,-0.9999999999999992,negative_correlation_with_attrition,,,,0.2984742013843889,0.6392653088022372,positive_correlation_with_attrition
My manager demonstrates that customer satisfaction is a top priority.,0.1760703678232753,-0.2867047051275883,negative_correlation_with_attrition,0.1398774473339249,1.0,positive_correlation_with_attrition,0.4177655501305559,-1.0,negative_correlation_with_attrition,0.1056581977431605,-0.5012570817954083,negative_correlation_with_attrition
I feel energized at work.,0.1703217705076256,-0.7460992872673946,negative_correlation_with_attrition,0.3701764062047061,-1.0,negative_correlation_with_attrition,0.1581989311685473,-0.9999999999999984,negative_correlation_with_attrition,,,
I have the authority to take actions to meet customer needs.,0.1603361716170871,-0.6933485438486903,negative_correlation_with_attrition,0.3046056518753449,-0.9999999999999996,negative_correlation_with_attrition,0.1303924883888159,-0.9999999999999996,negative_correlation_with_attrition,0.2254210974998509,-0.6393139644968244,negative_correlation_with_attrition
At Philips we make changes to get ahead of the competition not just to keep up with it.,0.1535576721980641,-0.6100745851461026,negative_correlation_with_attrition,,,,0.1963023347793638,-0.9999999999999992,negative_correlation_with_attrition,,,
I have the freedom to define how I get my work done.,0.1476945351770485,-0.5804346478818552,negative_correlation_with_attrition,0.1514421520120271,0.9999999999999976,positive_correlation_with_attrition,0.2134033346583059,-1.0,negative_correlation_with_attrition,,,
Well-Being and Work Life Rhythm,0.1451295595746629,-0.4603576427332599,negative_correlation_with_attrition,0.1835246415892018,-1.0,negative_correlation_with_attrition,,,,0.0851059144151314,0.3612681252702229,positive_correlation_with_attrition
Philips is organized in a way that effectively serves its customers.,0.1447478780152091,0.5355299450038263,positive_correlation_with_attrition,0.3988129544387456,0.9999999999999998,positive_correlation_with_attrition,0.1796802804473433,1.0,positive_correlation_with_attrition,0.1051775637248238,0.2649846796085037,positive_correlation_with_attrition
Leaders at Philips act boldly and swiftly with an enterprise mindset.,0.1385608022865313,0.7587053445707537,positive_correlation_with_attrition,,,,0.2031251646821818,0.9999999999999992,positive_correlation_with_attrition,,,
I have the flexibility I need to enable a healthy work life rhythm.,0.1297824426591927,-0.253260531685782,negative_correlation_with_attrition,,,,,,,0.0840814416458645,0.2611795007729502,positive_correlation_with_attrition
Overall I feel that my career goals can be met at Philips.,0.1280334324454107,-0.3536270910239554,negative_correlation_with_attrition,0.348607400924968,0.9999999999999986,positive_correlation_with_attrition,0.2635671191850704,-1.0,negative_correlation_with_attrition,0.0899334710601864,-0.4926534081345813,negative_correlation_with_attrition
People in my team clearly understand how quality expectations and patient safety fit into their job requirements.,0.1173077079841994,0.6084850179310349,positive_correlation_with_attrition,,,,0.2576927854984164,1.0,positive_correlation_with_attrition,,,
My manager takes necessary actions based on employee feedback.,0.106159257847496,-0.5775871176075983,negative_correlation_with_attrition,,,,0.3915214879018576,-1.0,negative_correlation_with_attrition,,,
I would recommend Philips to people I know as a great place to work.,0.1011881644493641,-0.6125257234600007,negative_correlation_with_attrition,,,,0.2091027697858133,-0.9999999999999998,negative_correlation_with_attrition,0.1602901049060681,-0.7558469859546898,negative_correlation_with_attrition
We set clear standards for product services and solutions quality and patient safety at Philips.,0.10111544583909,-0.7756500245302027,negative_correlation_with_attrition,,,,0.4065825421648262,-1.0,negative_correlation_with_attrition,0.1072074583719481,-0.7363827627598426,negative_correlation_with_attrition
I can be myself at work.,0.0966538323431294,0.36372268030108,positive_correlation_with_attrition,,,,0.1509254541710458,1.0,positive_correlation_with_attrition,0.0957972521461185,0.2068656551509655,positive_correlation_with_attrition
I am confident in the future success of Philips.,0.0958566235748253,-0.0078376409230243,negative_correlation_with_attrition,,,,,,,,,
I have confidence in Philips business strategy.,0.0946621555876212,-0.5870448709454819,negative_correlation_with_attrition,0.2375347551673884,-1.0,negative_correlation_with_attrition,,,,,,
avg_team_age,0.0878017328555625,0.4601170529895927,positive_correlation_with_attrition,0.1514198755580539,-1.0,negative_correlation_with_attrition,,,,0.4985116629760993,-0.4778334808978873,negative_correlation_with_attrition
I am proud to work for Philips.,0.087270672222359,-0.711179990188745,negative_correlation_with_attrition,0.3596531102583817,-0.9999999999999982,negative_correlation_with_attrition,0.1574495486891977,-1.0,negative_correlation_with_attrition,0.120770908353582,-0.4669988613046061,negative_correlation_with_attrition
My manager role models the Philips behaviours and culture.,0.0865470713758061,0.5880848013113016,positive_correlation_with_attrition,,,,,,,,,
Philips inspires me to do my best work.,0.0844771991923689,-0.1957233390815196,negative_correlation_with_attrition,,,,,,,,,
I see cooperation across different departments and groups.,0.0833174805900619,0.0261458904196155,positive_correlation_with_attrition,,,,,,,0.1600087167885602,-0.0349717626935191,negative_correlation_with_attrition
I have access to the resources I need to do my job effectively.,0.0819294218527834,0.521505331897064,positive_correlation_with_attrition,,,,,,,,,
Decisions impacting my work are made without delay.,0.0812777323444899,0.4972279587544846,positive_correlation_with_attrition,0.2051606622105643,-0.9999999999999996,negative_correlation_with_attrition,0.2162718921404556,1.0,positive_correlation_with_attrition,,,
I understand how Philips plans to be successful in the future.,0.0810330324967152,-0.374645092721583,negative_correlation_with_attrition,,,,,,,0.1048092350595129,0.1553032896703719,positive_correlation_with_attrition
The processes I use to do my work are as simple as possible.,0.079990496994508,0.4494598949151582,positive_correlation_with_attrition,0.2504957378451111,0.9999999999999996,positive_correlation_with_attrition,0.2694232112628608,1.0,positive_correlation_with_attrition,,,
In my team we regularly use customer feedback to improve the way we work.,0.078663102370665,-0.2896479961877257,negative_correlation_with_attrition,0.2321484404798539,-0.9999999999999998,negative_correlation_with_attrition,,,,0.2434233298209674,-0.4562166405712519,negative_correlation_with_attrition
I can share my opinions and concerns openly without any negative consequences.,,,,0.358916376972233,-0.9999999999999978,negative_correlation_with_attrition,,,,,,
Double-click Items,,,,0.3037978399679614,-0.9999999999999944,negative_correlation_with_attrition,0.2470171292455998,-1.0,negative_correlation_with_attrition,,,
My manager supports me to learn and develop further.,,,,0.3013104104206887,-0.999999999999996,negative_correlation_with_attrition,,,,,,
My manager provides support on how I can adapt to change.,,,,0.2765139773031905,-1.0,negative_correlation_with_attrition,0.2282288068658388,-1.0,negative_correlation_with_attrition,,,
Agility,,,,0.2442234826836514,-0.9999999999999984,negative_correlation_with_attrition,0.1730674625569735,-0.9999999999999998,negative_correlation_with_attrition,,,
Philips adapts well to changes that affect how we operate.,,,,0.2029845694998914,-0.9999999999999984,negative_correlation_with_attrition,0.2816543667417134,-0.9999999999999992,negative_correlation_with_attrition,0.1020747314211402,-0.5403104965398603,negative_correlation_with_attrition
Number of Direct Reports,,,,0.1961981323310981,1.0,positive_correlation_with_attrition,0.2316675965917303,-1.0,negative_correlation_with_attrition,,,
In my day-to-day job I contribute to the Purpose of our Company.,,,,0.187669983099414,1.0,positive_correlation_with_attrition,0.2627950203755858,0.9999999999999996,positive_correlation_with_attrition,,,
In my team we deliver on the commitments we make to each other.,,,,0.1793855339738937,0.9999999999999998,positive_correlation_with_attrition,0.3143377128631125,1.0,positive_correlation_with_attrition,0.0961817927753134,-0.3073419539809104,negative_correlation_with_attrition
Performance & Accountability,,,,0.1784978175270569,0.9999999999999984,positive_correlation_with_attrition,,,,,,
My manager recognizes me when I do a good job.,,,,0.1660767243126724,0.9999999999999996,positive_correlation_with_attrition,,,,,,
I feel free to try new things in my job even though my efforts may not succeed.,,,,0.1611619851246925,0.999999999999998,positive_correlation_with_attrition,,,,,,
My team has a clear understanding of our customers needs.,,,,0.1592829814630726,-0.9999999999999998,negative_correlation_with_attrition,,,,0.0908737861390247,-0.0328516158647173,negative_correlation_with_attrition
Engagement,,,,0.1443834566615509,-1.0,negative_correlation_with_attrition,,,,0.1296973674999466,-0.6193540931032109,negative_correlation_with_attrition
